092	4.6800	18.4000	0
093	2.6900	16.5400	0
094	3.1500	13.9300	0
125	0.6300	10.2400	0
162	-3.0900	18.7500	0
161	-2.3900	16.5000	0
160	-3.9500	15.3900	0
159	-2.3200	14.2000	0
126	1.5400	12.7500	0
127	-0.4000	13.5200	0
128	1.4100	14.6600	0
129	1.7700	18.2500	0
133	-1.0600	10.3900	0
132	-0.2600	11.6600	0
131	-0.8200	14.8100	0
130	-0.3400	17.3600	0
205	-9.0200	-6.0500	0
206	-9.5800	-8.2500	0
212	-12.6200	-11.5800	0
213	-11.6300	-9.7500	0
256	-17.6000	-6.3700	0
239	-15.2500	-6.3300	0
238	-15.9300	-8.2500	0
237	-15.3100	-9.6500	0
214	-11.4600	-7.5000	0
215	-12.8200	-5.9300	0
216	-10.8300	-3.9200	0
232	-14.0700	-4.7300	0
236	-13.2900	-13.4800	0
235	-15.0000	-11.4800	0
234	-13.5500	-9.4200	0
233	-13.8900	-7.7700	0
002	17.7000	-3.9400	0
003	18.8900	-1.2100	0
004	18.1100	1.0200	0
005	17.9200	3.2800	0
050	8.8100	1.1400	0
049	9.8600	-0.4900	0
035	11.4800	-0.8300	0
034	12.4100	1.0700	0
009	15.1700	-0.6900	0
010	16.1900	-1.9900	0
011	15.8600	-3.8500	0
018	13.6500	-1.9800	0
033	10.9500	2.0900	0
022	14.8400	3.5200	0
020	16.5000	0.3000	0
019	13.5800	0.1300	0
