##################################################
# this file maps inputs into the receiver/correlator to antennas and polarisations.
# in addition, a cable length delta (in meters) can be specified
# the first column is not actually used by the uvfits writer, but is there as
# an aide to human readers. Inputs are ordered from 0 to n_inp-1
# antenna numbering starts at 0 and is an index into the corresponding antenna_locations.txt file
# lines beginning with '\#' and blank lines are ignored. Do not leave spaces in empty lines.
#
# Input flagging: put a 1 in the flag column to flag all data from that input.
#                 0 means no flag.
# Cable lengths: if length is prefixed by EL_ then no velocity correction factor is needed
#               since the value is interpreted directly as an electrical length
# this is based on decoding from an email from Alessio 12/2/2018, which notes internal re-ordering
# inside preADU:
#antenna_preadu_mapping = {0: 1,  1: 2,  2: 3,    3: 4,
#                          8: 5,  9: 6,  10: 7,  11: 8,
#                         15: 9, 14: 10, 13: 11, 12: 12,
#                          7: 13, 6: 14,  5: 15,  4: 16}
#
##################################################
# INPUT   ANTENNA   POL     DELTA   FLAG 
222	222	X	0	0
223	222	Y	0	0
224	244	X	0	0
225	244	Y	0	0
226	251	X	0	0
227	251	Y	0	0
228	245	X	0	0
229	245	Y	0	0
230	200	X	0	0
231	200	Y	0	0
232	217	X	0	0
233	217	Y	0	0
234	227	X	0	0
235	227	Y	0	0
236	228	X	0	0
237	228	Y	0	0
238	201	X	0	0
239	201	Y	0	0
240	219	X	0	0
241	219	Y	0	0
242	185	X	0	0
243	185	Y	0	0
244	247	X	0	0
245	247	Y	0	0
246	229	X	0	0
247	229	Y	0	0
248	252	X	0	0
249	252	Y	0	0
250	218	X	0	0
251	218	Y	0	0
252	168	X	0	0
253	168	Y	0	0
254	246	X	0	0
255	246	Y	0	0
256	9	X	0	0
257	9	Y	0	0
258	10	X	0	0
259	10	Y	0	0
260	1	X	0	0
261	1	Y	0	0
262	36	X	0	0
263	36	Y	0	0
264	33	X	0	0
265	33	Y	0	0
266	34	X	0	0
267	34	Y	0	0
268	3	X	0	0
269	3	Y	0	0
270	0	X	0	0
271	0	Y	0	0
272	8	X	0	0
273	8	Y	0	0
274	18	X	0	0
275	18	Y	0	0
276	4	Y	0	0   # pol swap
277	4	X	0	0
278	17	X	0	0
279	17	Y	0	0
280	15	X	0	1
281	15	Y	0	1
282	46	X	0	0
283	46	Y	0	0
284	65	X	0	0
285	65	Y	0	0
286	35	X	0	0
287	35	Y	0	0
288	78	X	0	0
289	78	Y	0	0
290	67	X	0	0
291	67	Y	0	0
292	42	X	0	0
293	42	Y	0	0
294	77	X	0	0
295	77	Y	0	0
296	48	X	0	0
297	48	Y	0	0
298	19	X	0	0
299	19	Y	0	0
300	64	X	0	0
301	64	Y	0	0
302	16	Y	0	0   # pol swap
303	16	X	0	0
304	43	X	0	0
305	43	Y	0	0
306	76	X	0	0
307	76	Y	0	0
308	14	X	0	0
309	14	Y	0	0
310	101	X	0	0
311	101	Y	0	0
312	47	X	0	0
313	47	Y	0	0
314	12	X	0	0
315	12	Y	0	0
316	11	X	0	1
317	11	Y	0	1
318	37	X	0	1
319	37	Y	0	1
320	38	X	0	0
321	38	Y	0	0
322	79	X	0	0
323	79	Y	0	0
324	45	X	0	0
325	45	Y	0	0
