# EDA2 antenna locations.
# lines beginning with '#' and blank lines are ignored. Do not leave spaces in empty lines.
# locations of antennas relative to the centre of the array in local topocentric
# "east". "north". "height". Units are meters.
# Format: Antenna_name east north height
# antenna names must be 8 chars or less
# fields are separated by white space
Ant061	6.437	4.975	-0.03
Ant063	-0.29	-0.256	0.02
Ant064	6.804	1.32	0.00
Ant083	5.331	1.075	-0.01
Ant136	-0.363	3.256	-0.01
Ant124	1.86	9.002	-0.04
Ant123	0.923	6.104	-0.03
Ant122	1.772	4.249	-0.01
Ant084	4.3	3.282	-0.03
Ant085	4.264	5.952	-0.05
Ant086	5.668	6.391	-0.03
Ant097	2.832	6.377	-0.04
Ant121	1.122	2.964	-0.01
Ant120	0.465	1.694	-0.01
Ant099	2.546	1.643	0.00
Ant098	3.669	4.665	-0.03
Ant134	-0.521	8.213	-0.03
Ant135	-1.115	6.463	-0.03
Ant152	-2.806	0.997	0.02
Ant153	-2.829	3.659	-0.01
Ant201	-8.592	3.065	0.03
Ant200	-9.235	4.437	0.01
Ant199	-8.371	6.292	0.00
Ant188	-6.389	6.799	-0.01
Ant154	-4.006	5.484	-0.03
Ant155	-2.164	5.559	-0.02
Ant156	-2.633	8.285	-0.03
Ant167	-5.292	8.106	0.00
Ant187	-7.067	5.394	0.00
Ant186	-6.682	2.538	0.03
Ant169	-5.817	0.328	0.00
Ant168	-4.416	2.63	0.01
Ant118	0.096	-4.251	0.04
Ant137	-1.077	-1.503	0.02
Ant138	-1.561	-4.804	0.00
Ant147	-2.159	-7.715	0.06
Ant204	-8.203	-4.107	0.07
Ant203	-9.162	-1.818	0.00
Ant185	-7.451	-0.822	0.04
Ant184	-6.412	-1.87	0.05
Ant148	-3.965	-7.691	0.06
Ant149	-2.891	-5.783	0.05
Ant150	-2.474	-3.156	0.05
Ant151	-3.184	-1.347	0.05
Ant183	-6.902	-5.162	0.08
Ant172	-4.753	-4.806	0.08
Ant171	-5.758	-3.317	0.07
Ant170	-4.786	-0.803	0.05
Ant065	6.986	-1.068	0.01
Ant066	6.598	-2.775	0.00
Ant079	4.95	-6.78	0.03
Ant080	5.296	-5.349	0.02
Ant139	-0.957	-6.503	0.00
Ant119	0.833	-2.608	0.03
Ant117	0.996	-5.502	0.03
Ant116	0.093	-7.806	0.05
Ant081	4.958	-1.847	0.00
Ant082	4.423	-0.144	0.00
Ant100	2.204	-0.654	0.01
Ant101	2.398	-2.458	0.01
Ant105	2.734	-8.869	0.04
Ant104	2.593	-7.404	0.04
Ant103	2.38	-5.841	0.02
Ant102	2.953	-4.096	0.01
Ant006	14.604	8.192	-0.07
Ant007	14.729	6.197	-0.06
Ant008	15.694	4.799	-0.05
Ant021	12.157	2.232	-0.01
Ant062	7.79	4.892	-0.02
Ant053	9.892	7.151	-0.04
Ant052	8.311	6.642	-0.03
Ant051	9.094	5.38	-0.03
Ant023	13.773	4.843	0.00
Ant024	12.801	8.294	-0.06
Ant025	13.79	10.863	-0.08
Ant026	12.009	11.961	-0.08
Ant032	10.252	3.567	-0.01
Ant031	11.289	4.599	-0.02
Ant030	11.243	6.708	-0.04
Ant029	11.333	9.036	-0.05
Ant027	11.502	13.196	-0.09
Ant028	10.458	12.212	-0.09
Ant054	8.796	9.25	-0.05
Ant055	10.001	10.685	-0.06
Ant096	3.316	8.612	-0.04
Ant095	3.081	10.214	-0.05
Ant091	5.744	14.64	-0.07
Ant090	4.09	14.279	-0.07
Ant056	8.635	12.256	-0.07
Ant057	8.545	13.838	-0.08
Ant058	6.93	16.071	-0.08
Ant059	6.184	10.003	-0.06
Ant089	6.002	12.159	-0.07
Ant088	4.794	10.948	-0.06
Ant087	5.082	8.318	-0.04
Ant060	6.744	7.393	-0.05
Ant092	4.352	17.054	-0.08
Ant093	2.495	15.334	-0.07
Ant094	2.889	12.925	-0.06
Ant125	0.6	9.509	-0.05
Ant130	-0.316	16.08	-0.07
Ant131	-0.727	13.72	-0.06
Ant132	-0.137	10.905	-0.06
Ant133	-0.861	9.515	-0.04
Ant126	1.387	11.821	-0.05
Ant127	-0.01	12.536	-0.05
Ant128	1.283	13.583	-0.06
Ant129	1.646	16.931	-0.08
Ant159	-2.128	13.196	-0.06
Ant160	-3.636	14.274	-0.06
Ant161	-2.165	15.282	-0.06
Ant162	-2.859	17.405	-0.06
Ant157	-2.033	10.655	-0.04
Ant158	-3.168	12.108	-0.05
Ant163	-4.758	16.072	-0.06
Ant164	-5.508	12.198	-0.04
Ant223	-11.239	11.255	-0.03
Ant197	-8.19	8.083	-0.02
Ant196	-9.917	8.893	0.00
Ant195	-9.272	10.281	0.00
Ant165	-5.397	10.693	0.00
Ant166	-4.481	9.394	-0.03
Ant189	-6.532	9.288	-0.03
Ant190	-7.541	10.401	-0.03
Ant194	-8.343	11.682	-0.03
Ant193	-9.742	12.932	-0.03
Ant192	-7.917	14.996	-0.05
Ant191	-6.767	13.842	-0.04
Ant198	-9.462	7.281	-0.01
Ant220	-11.908	3.791	0.02
Ant221	-10.96	6.078	-0.01
Ant222	-10.827	9.947	-0.02
Ant252	-17.345	3.104	0.03
Ant251	-16.081	6.977	0.01
Ant250	-14.881	9.472	-0.01
Ant249	-14.287	6.431	0.00
Ant224	-12.238	12.349	-0.03
Ant225	-13.345	11.344	-0.02
Ant226	-12.502	9.779	-0.02
Ant227	-12.13	8.091	-0.01
Ant248	-15.854	5.159	0.01
Ant247	-14.912	3.975	0.00
Ant246	-15.692	2.723	0.02
Ant228	-13.072	4.618	0.02
Ant202	-9.253	0.897	0.03
Ant217	-11.219	-2.175	0.04
Ant218	-10.998	1.059	0.03
Ant219	-10.528	2.941	0.02
Ant255	-16.12	-3.157	0.04
Ant254	-16.958	-0.291	0.00
Ant253	-17.011	1.29	0.03
Ant245	-15.487	1.304	0.03
Ant229	-12.963	2.788	0.02
Ant230	-13.654	0.576	0.02
Ant231	-12.378	-0.773	0.03
Ant240	-15.151	-4.601	0.06
Ant244	-15.256	-0.404	0.04
Ant243	-14.105	-1.391	0.03
Ant242	-15.911	-1.749	0.05
Ant241	-14.205	-3.402	0.05
Ant205	-8.348	-5.613	0.10
Ant206	-8.909	-7.645	0.01
Ant212	-11.725	-10.768	0.08
Ant213	-10.808	-9.328	0.07
Ant233	-12.903	-7.197	0.07
Ant234	-12.584	-8.743	0.07
Ant235	-13.914	-10.645	0.08
Ant236	-12.365	-12.505	0.01
Ant214	-10.658	-6.94	0.07
Ant215	-11.922	-5.501	0.06
Ant216	-10.025	-3.676	0.05
Ant232	-13.023	-4.381	0.06
Ant237	-14.229	-8.962	0.08
Ant238	-14.817	-7.644	0.06
Ant239	-14.17	-5.84	0.06
Ant256	-16.353	-5.907	0.07
Ant140	-1.431	-10.002	0.06
Ant145	-3.093	-11.075	0.08
Ant146	-2.489	-9.087	0.06
Ant173	-4.494	-9.103	0.07
Ant211	-10.249	-11.693	0.10
Ant210	-10.161	-13.664	0.01
Ant209	-8.993	-12.888	0.09
Ant208	-8.812	-10.788	0.08
Ant174	-4.841	-11.454	0.08
Ant175	-5.489	-12.836	0.09
Ant178	-6.413	-15.192	0.10
Ant179	-7.788	-14.449	0.11
Ant207	-9.269	-9.281	0.08
Ant182	-5.992	-8.978	0.08
Ant181	-7.465	-9.757	0.09
Ant180	-6.793	-11.872	0.08
Ant073	4.653	-16.851	0.10
Ant107	2.901	-14.38	0.08
Ant108	2.622	-15.922	0.11
Ant109	2.864	-17.295	0.12
Ant177	-4.154	-16.401	0.10
Ant176	-4.144	-13.986	0.09
Ant144	-3.448	-12.712	0.08
Ant143	-2.284	-14.023	0.09
Ant110	1.261	-17.549	0.01
Ant111	0.503	-15.756	0.10
Ant112	1.409	-13.889	0.09
Ant113	0.022	-13.472	0.08
Ant142	-2.778	-15.669	0.10
Ant141	-1.437	-17.063	0.01
Ant115	1.894	-11.231	0.05
Ant114	0.297	-11.446	0.06
Ant040	10.081	-12.436	0.01
Ant041	9.683	-14.644	0.07
Ant042	8.451	-12.479	0.06
Ant043	9.461	-10.845	0.06
Ant106	3.621	-11.93	0.05
Ant078	4.5	-8.239	0.04
Ant077	5.156	-9.882	0.05
Ant076	4.946	-11.443	0.07
Ant045	8.395	-8.347	0.03
Ant068	6.099	-8.25	0.04
Ant069	7.845	-9.898	0.05
Ant070	7.755	-11.293	0.06
Ant075	4.015	-13.262	0.07
Ant074	5.711	-15.634	0.08
Ant072	7.455	-14.797	0.08
Ant071	6.771	-12.75	0.07
Ant001	16.202	-6.317	0.02
Ant012	14.161	-5.077	0.02
Ant013	14.233	-7.227	0.03
Ant014	12.316	-11.039	0.04
Ant067	7.301	-5.672	0.00
Ant048	9.345	-2.736	0.02
Ant047	8.201	-4.62	0.02
Ant046	9.913	-7.819	0.04
Ant015	13.605	-9.468	0.00
Ant016	12.548	-7.184	0.03
Ant017	12.56	-4.078	0.02
Ant036	11.145	-2.181	0.01
Ant044	9.675	-9.42	0.04
Ant039	11.105	-9.682	0.04
Ant038	10.95	-6.491	0.03
Ant037	11.046	-3.639	0.01
Ant002	16.448	-3.671	0.00
Ant003	17.517	-1.114	-0.01
Ant004	16.81	0.961	-0.03
Ant005	16.658	3.036	-0.04
Ant019	12.608	0.097	0.02
Ant020	13.901	0.835	0.00
Ant022	13.759	3.242	-0.03
Ant033	10.136	1.94	0.00
Ant009	14.096	-0.643	-0.01
Ant010	15.053	-1.837	-0.01
Ant011	14.706	-3.576	0.00
Ant018	12.66	-1.845	0.01
Ant034	11.507	1.024	0.00
Ant035	10.64	-0.779	0.01
Ant049	9.155	-0.467	0.01
Ant050	8.131	1.038	-0.01
